Catégorie : Toutes catégories

Mois,polution: (Dans tous les pays)
2004-01,81
2004-02,77
2004-03,94
2004-04,100
2004-05,93
2004-06,52
2004-07,35
2004-08,40
2004-09,66
2004-10,73
2004-11,81
2004-12,75
2005-01,77
2005-02,79
2005-03,84
2005-04,80
2005-05,86
2005-06,55
2005-07,34
2005-08,34
2005-09,56
2005-10,70
2005-11,72
2005-12,60
2006-01,65
2006-02,64
2006-03,71
2006-04,63
2006-05,72
2006-06,43
2006-07,30
2006-08,28
2006-09,42
2006-10,54
2006-11,64
2006-12,46
2007-01,54
2007-02,57
2007-03,56
2007-04,53
2007-05,59
2007-06,38
2007-07,29
2007-08,28
2007-09,43
2007-10,53
2007-11,58
2007-12,50
2008-01,52
2008-02,51
2008-03,49
2008-04,53
2008-05,49
2008-06,35
2008-07,29
2008-08,30
2008-09,35
2008-10,42
2008-11,46
2008-12,35
2009-01,40
2009-02,37
2009-03,38
2009-04,36
2009-05,34
2009-06,24
2009-07,16
2009-08,18
2009-09,23
2009-10,29
2009-11,30
2009-12,23
2010-01,25
2010-02,26
2010-03,28
2010-04,29
2010-05,28
2010-06,20
2010-07,15
2010-08,15
2010-09,20
2010-10,24
2010-11,22
2010-12,18
2011-01,22
2011-02,22
2011-03,23
2011-04,21
2011-05,21
2011-06,16
2011-07,12
2011-08,13
2011-09,16
2011-10,18
2011-11,19
2011-12,17
2012-01,19
2012-02,20
2012-03,19
2012-04,16
2012-05,18
2012-06,12
2012-07,11
2012-08,12
2012-09,14
2012-10,15
2012-11,16
2012-12,14
2013-01,16
2013-02,17
2013-03,16
2013-04,16
2013-05,15
2013-06,14
2013-07,10
2013-08,11
2013-09,13
2013-10,16
2013-11,16
2013-12,15
2014-01,15
2014-02,16
2014-03,25
2014-04,17
2014-05,15
2014-06,13
2014-07,11
2014-08,12
2014-09,16
2014-10,16
2014-11,17
2014-12,14
2015-01,16
2015-02,17
2015-03,19
2015-04,17
2015-05,16
2015-06,14
2015-07,12
2015-08,14
2015-09,18
2015-10,20
2015-11,18
2015-12,20
2016-01,20
2016-02,19
2016-03,17
2016-04,18
2016-05,17
2016-06,13
2016-07,12
2016-08,14
2016-09,16
2016-10,17
2016-11,21
2016-12,25
2017-01,27
2017-02,21
2017-03,19
2017-04,16
2017-05,17
2017-06,15
2017-07,12
2017-08,13
2017-09,14
2017-10,19
2017-11,22
2017-12,16
2018-01,16
2018-02,18
2018-03,17
2018-04,17
2018-05,18
2018-06,14
2018-07,12
2018-08,15
2018-09,14
2018-10,17
2018-11,19
2018-12,14
2019-01,16
2019-02,18
2019-03,17
2019-04,16
2019-05,17
2019-06,16
2019-07,12
2019-08,12
2019-09,20
2019-10,17
